year,9/1,9/2,9/3,9/4,9/5,9/6,9/7,9/8,9/9,9/10,9/11,9/12,9/13,9/14,9/15,9/16,9/17,9/18,9/19,9/20,9/21,9/22,9/23,9/24,9/25,9/26,9/27,9/28,9/29,9/30,10/1,10/2,10/3,10/4,10/5,10/6,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16,12/17,12/18,12/19,12/20,12/21,12/22,12/23,12/24,12/25,12/26,12/27,12/28,12/29,12/30,12/31,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27,1/28,1/29,1/30,1/31,2/1,2/2,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,2/12,2/13,2/14,2/15,2/16,2/17,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,2/29,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30
1964-1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,1,1,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,0,0,2,2,2,2,1,0,0,0,0,1,1,2,5,6,6,6,6,8,8,8,8,8,8,9,9,9,10,10,11,11,12,13,10,5,3,3,10,10,8,10,11,11,11,11,11,11,11,11,9,9,9,9,9,12,12,12,13,13,13,27,30,30,30,30,30,31,32,33,35,35,35,32,33,33,33,33,42,41,30,29,33,32,32,33,33,33,33,33,38,38,38,38,38,38,38,38,39,39,39,39,39,39,37,36,36,36,36,36,36,37,38,38,38,38,38,38,38,38,39,40,41,41,42,42,42,44,46,46,49,49,49,49,49,49,49,49,48,49,51,51,50,49,48,56,55,55,56,57,57,57,57,56,54,55,55,53,53,53,51,50,49,48,47,46,42,41,38,36,34,32,28,25,21,17,15,12,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965-1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,3,5,7,6,2,2,1,1,1,1,1,0,0,0,0,0,0,3,26,24,25,28,24,24,24,22,25,28,29,34,35,35,32,32,35,34,35,36,36,35,35,35,33,35,35,36,37,39,41,45,44,45,47,45,44,43,45,45,45,45,45,42,36,36,39,39,39,41,42,43,43,42,43,43,43,42,42,42,46,47,48,48,49,49,52,57,57,57,57,58,58,60,62,63,63,63,64,64,65,65,65,65,59,56,56,58,62,62,63,63,63,63,63,63,64,64,64,72,80,80,78,77,76,77,75,74,73,76,79,78,76,74,74,74,77,76,76,76,76,74,73,73,73,72,71,70,71,71,74,74,74,76,77,78,78,78,78,78,81,82,85,86,86,87,87,87,86,85,84,83,82,81,81,79,76,74,73,72,71,71,71,70,69,65,64,63,68,67,66,69,68,71,72,71,71,73,72,70,69,67,65,60,57,54,51,50,47,44,42,39,36,33,29,26,22,20,16,13,12,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966-1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,11,9,8,7,6,5,0,0,0,0,0,0,0,1,0,1,1,2,1,1,2,2,17,22,23,23,27,30,30,29,32,28,26,28,31,29,27,27,25,28,30,30,29,30,32,31,32,32,36,34,33,29,25,22,22,24,32,37,39,36,36,38,38,38,40,40,39,39,40,39,41,41,40,40,40,40,39,39,39,42,42,42,50,53,53,54,54,61,67,73,69,67,68,67,68,71,72,70,66,63,61,61,61,62,63,63,63,62,63,63,63,63,63,62,61,60,58,57,56,55,48,42,41,41,40,42,45,42,41,41,41,41,39,38,35,35,35,36,37,37,37,37,43,51,51,50,46,44,44,43,42,42,42,42,44,43,43,49,49,53,53,54,53,52,50,50,49,49,48,45,44,44,43,42,42,48,46,43,40,39,35,34,31,27,25,20,15,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967-1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,2,1,5,6,9,10,10,11,12,28,30,26,24,29,27,26,26,30,32,31,30,28,33,32,29,27,26,29,28,28,28,26,25,25,27,36,37,34,33,30,28,26,27,28,28,31,31,34,44,42,41,43,42,42,45,48,47,49,48,48,48,48,48,48,48,49,50,48,48,50,51,53,53,59,63,62,60,59,59,60,62,61,61,60,59,64,65,66,66,65,64,66,67,68,67,69,78,78,78,79,80,79,78,79,82,81,81,79,79,79,76,84,85,87,86,88,88,86,84,84,83,83,84,88,92,90,88,87,87,81,78,73,70,69,78,79,75,73,73,68,67,65,65,64,64,62,60,60,59,58,57,56,56,54,54,54,52,52,52,50,48,47,46,45,44,40,36,37,42,42,41,40,39,38,36,36,35,34,34,33,32,31,30,24,23,20,17,15,14,12,10,10,10,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,2,2,0,0,0,0,2,14,12,12,12,15,20,20,22,22,21,22,21,28,28,33,30,28,28,28,28,28,26,26,26,26,27,29,37,45,46,48,48,48,45,42,42,42,48,48,45,45,45,50,49,49,53,58,60,63,63,69,74,75,73,80,82,82,83,84,81,87,96,98,98,97,99,99,103,101,99,97,98,96,95,93,90,90,88,88,88,89,88,89,87,90,91,91,94,101,101,101,100,100,98,108,108,107,108,111,114,113,113,111,108,108,108,108,106,107,110,113,114,114,113,113,112,113,110,108,108,108,110,114,121,125,127,126,125,126,124,124,125,123,126,126,128,128,127,129,134,144,142,139,138,142,140,149,147,144,139,136,135,133,133,130,126,125,125,123,117,115,106,100,103,102,102,101,104,104,102,101,100,99,91,90,89,89,87,84,82,81,79,78,75,72,71,71,72,72,72,72,68,66,63,57,55,53,48,45,42,40,38,37,34,27,24,22,20,17,10,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,5,4,3,3,3,3,3,2,0,0,1,0,0,0,0,0,0,0,0,3,6,6,6,3,1,8,15,16,12,12,12,14,12,12,12,12,15,15,18,20,19,17,17,19,18,18,14,14,14,16,17,18,18,18,22,22,21,36,34,30,30,39,50,57,57,57,55,53,51,51,46,46,47,46,46,46,46,46,46,47,47,47,49,49,50,49,49,49,50,54,55,56,60,60,60,61,59,59,59,61,59,58,54,54,54,54,54,54,53,55,56,56,58,62,61,61,63,61,62,62,64,66,72,72,72,72,72,73,75,72,72,75,74,75,77,77,78,81,81,83,84,85,83,84,83,82,81,85,85,88,93,102,101,100,96,98,97,96,94,100,108,108,106,105,105,104,98,96,102,98,96,95,95,94,90,90,89,87,87,86,86,85,84,83,80,72,70,66,64,62,60,54,48,51,50,49,46,42,38,36,34,32,30,28,26,25,24,19,17,15,12,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,11,9,0,0,0,0,0,3,3,3,2,6,3,4,4,14,15,18,18,12,8,8,8,8,4,4,13,15,23,25,22,26,30,26,25,25,26,26,25,34,36,33,36,40,40,44,54,46,46,47,48,48,48,46,46,46,44,44,44,44,43,44,44,46,46,48,46,48,50,50,50,50,50,51,52,56,56,57,57,60,72,72,70,73,75,72,72,71,69,75,75,72,74,75,77,77,77,78,75,75,73,73,72,72,73,78,77,81,85,85,84,83,81,82,83,83,83,96,112,108,110,114,116,111,114,111,108,106,104,98,99,98,98,100,108,108,108,108,109,106,105,105,105,107,106,105,102,100,101,101,100,100,102,102,102,102,101,99,98,96,100,98,98,98,97,98,102,108,108,105,106,106,104,105,106,106,105,104,107,112,108,105,102,101,98,92,89,84,83,83,78,77,72,66,60,55,54,50,50,45,43,41,40,36,30,27,24,21,20,16,12,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971-1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,9,7,5,8,8,8,5,5,5,4,3,1,2,3,3,3,2,15,20,15,13,12,22,23,21,24,26,25,27,27,27,25,28,25,24,24,24,25,25,24,28,26,27,28,28,27,30,31,31,32,31,32,34,36,33,34,36,35,36,36,36,37,37,37,37,41,38,37,36,37,37,37,36,37,42,41,41,42,42,42,44,46,54,52,52,52,52,53,56,57,57,57,57,57,56,56,56,56,57,56,58,57,57,60,72,72,72,72,80,86,83,82,82,82,79,75,79,78,80,84,85,85,86,84,84,82,82,81,85,84,83,84,85,84,83,83,84,84,87,94,96,97,95,95,93,93,95,96,97,97,98,100,100,98,96,97,97,99,98,98,96,96,95,93,92,91,91,91,91,91,91,90,89,89,88,87,84,78,76,75,73,72,72,69,69,69,69,66,63,60,54,54,52,48,40,36,34,27,24,22,21,15,12,11,10,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,4,5,4,4,4,4,6,12,12,12,10,10,15,15,16,16,17,17,16,16,17,23,22,36,32,31,31,32,22,22,24,27,27,27,27,27,30,30,37,39,39,39,39,38,43,43,43,43,42,45,44,45,50,49,47,46,48,48,47,51,53,53,53,56,56,59,57,57,57,58,56,53,51,60,59,58,57,60,60,60,60,60,67,66,68,68,66,66,72,72,72,70,72,76,75,75,75,79,78,83,83,84,84,84,84,84,85,89,87,86,86,86,84,84,84,85,84,83,82,82,81,80,78,78,77,73,73,73,71,70,70,73,82,85,84,84,82,81,80,80,80,79,78,77,73,72,77,78,78,89,89,88,88,86,92,101,98,99,97,95,90,84,81,76,75,72,66,62,60,59,57,56,56,56,59,57,56,48,48,47,49,48,47,47,40,38,36,36,35,34,34,30,29,31,29,28,25,22,20,19,16,12,11,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,6,8,13,14,11,10,5,4,5,8,6,6,6,5,5,4,3,3,3,2,0,3,6,10,8,7,6,4,0,1,1,1,1,1,1,1,8,7,6,16,16,16,16,12,14,18,19,18,15,12,14,13,14,16,17,18,21,22,24,27,26,27,30,31,29,30,28,27,29,32,31,30,30,30,29,30,29,31,30,30,29,27,32,31,31,32,32,30,30,30,30,34,34,34,34,36,41,39,38,38,36,36,40,39,44,44,40,48,49,48,48,46,45,46,47,48,48,44,40,36,36,36,36,38,39,42,41,41,39,46,54,66,66,66,69,69,67,68,66,66,66,67,66,69,68,68,67,65,59,51,52,52,58,68,72,70,68,66,62,57,59,58,58,57,56,55,52,48,50,49,48,45,42,38,37,36,35,34,32,29,28,30,30,29,28,27,26,24,23,23,22,18,17,12,11,9,8,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,9,12,11,10,9,16,19,19,14,12,21,18,16,16,16,16,16,17,18,18,18,16,16,12,14,14,15,15,15,15,16,24,28,28,30,30,30,30,27,30,31,29,29,29,31,32,35,36,35,36,35,35,36,35,36,36,36,34,34,35,36,39,42,42,44,43,42,42,41,41,42,48,50,52,50,53,52,54,50,50,50,55,60,60,61,60,60,60,61,61,66,67,64,64,65,64,67,69,67,65,65,70,71,72,72,72,72,78,84,88,87,85,85,99,98,97,96,96,93,92,96,96,95,92,90,84,87,84,85,84,84,84,85,84,83,81,84,84,84,97,105,110,110,118,122,121,119,118,117,115,114,112,108,108,108,98,97,97,96,96,95,93,92,91,91,91,91,91,90,86,84,82,82,82,80,76,72,70,67,60,59,56,53,48,45,42,36,30,21,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,20,24,21,15,18,15,15,15,15,15,15,15,12,12,13,22,22,22,22,22,25,25,25,34,35,31,31,31,32,32,32,32,32,32,32,32,32,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,60,58,59,59,58,60,62,62,61,63,66,65,66,66,65,66,72,69,78,72,69,72,71,70,66,66,69,69,69,74,73,72,64,64,64,66,63,63,66,64,69,74,75,79,84,84,85,77,66,71,70,69,66,65,65,64,63,63,61,59,59,60,60,60,60,60,60,60,59,63,68,64,63,60,57,51,42,40,36,34,32,30,30,30,39,45,44,44,40,38,34,33,36,34,30,29,29,28,28,22,21,19,18,12,11,9,8,6,7,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,1,1,1,0,0,3,3,6,5,5,5,3,11,10,9,6,12,18,18,23,21,22,22,23,24,23,23,21,20,20,22,26,26,35,36,37,36,33,30,23,28,27,27,30,33,33,32,33,34,35,34,34,34,35,37,35,36,36,36,36,36,35,37,38,40,42,42,44,45,45,46,46,46,46,48,48,49,52,52,55,60,60,73,75,73,71,71,70,72,72,68,67,72,74,76,61,57,65,70,72,72,75,75,75,76,78,79,81,80,84,84,81,82,84,82,80,79,84,84,83,81,80,80,81,85,84,83,84,93,91,90,90,90,91,92,92,92,92,93,94,94,94,89,84,84,75,73,72,72,72,70,70,69,71,70,84,88,92,90,90,88,82,78,72,72,70,70,70,70,73,78,82,83,79,78,72,70,67,66,66,66,64,64,62,60,52,49,52,54,53,53,53,52,52,49,48,47,47,42,39,36,36,36,36,36,30,29,29,24,24,21,20,19,18,17,16,15,14,13,12,11,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,8,9,0,8,6,6,6,6,18,25,24,23,22,21,19,26,26,30,37,45,46,45,45,44,43,43,46,45,45,42,41,41,41,46,46,46,45,45,45,45,45,45,49,48,48,50,57,57,58,59,60,60,55,57,54,56,58,60,60,59,60,74,73,73,78,70,69,70,70,66,72,78,78,78,75,78,78,78,78,78,78,84,84,81,81,81,85,87,84,84,81,82,82,82,82,82,84,84,88,88,88,92,89,89,89,88,89,92,93,92,88,89,88,88,85,91,90,90,90,88,88,89,90,93,90,90,94,94,90,96,96,96,98,98,99,100,99,99,98,99,98,99,101,105,105,105,104,103,106,105,106,106,105,105,104,104,104,104,103,103,102,102,102,101,101,100,102,103,102,100,99,96,95,90,89,85,81,78,75,72,72,69,60,58,53,49,46,43,36,33,24,21,16,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,8,8,8,13,12,12,11,12,12,11,11,11,11,11,12,13,13,16,16,24,26,24,36,42,42,36,38,40,37,37,45,50,60,58,56,51,46,40,33,35,35,41,42,38,44,46,48,46,45,50,50,48,54,57,60,60,59,61,60,60,60,61,62,60,63,71,72,75,73,74,74,73,78,79,80,80,81,81,79,79,79,79,78,78,77,76,72,72,72,74,74,74,74,78,78,78,78,78,79,78,78,75,71,70,71,71,70,72,73,73,73,72,72,73,73,72,72,72,69,68,66,63,63,63,63,63,62,58,57,57,57,57,60,64,73,73,75,82,80,80,81,79,80,82,84,82,82,82,80,78,77,70,69,63,59,54,52,50,51,50,48,47,48,47,47,44,36,30,25,24,22,20,15,11,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,8,6,7,10,11,11,8,6,5,0,0,0,0,1,2,3,3,3,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,8,9,9,8,4,4,0,0,0,0,0,0,0,1,5,5,5,5,5,8,7,8,10,10,12,12,9,9,10,10,10,14,12,12,12,12,12,12,10,9,9,9,12,14,15,15,15,15,15,15,15,15,16,16,18,19,18,15,15,13,13,12,12,12,13,13,13,17,24,24,24,22,24,30,30,29,29,24,24,23,23,23,23,23,23,22,22,22,24,26,27,30,30,30,32,30,29,28,30,30,31,31,30,31,36,36,36,35,34,34,36,37,39,42,44,42,46,48,46,50,54,55,53,51,55,49,48,48,48,48,50,53,48,48,48,50,48,48,48,47,49,54,53,52,52,51,48,47,45,45,45,43,44,44,43,43,42,41,41,41,38,37,36,36,35,34,32,28,24,22,21,20,19,17,13,12,12,12,12,9,8,7,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,1,1,1,1,3,5,9,8,8,8,10,14,12,11,8,8,8,8,12,14,20,22,22,22,23,24,23,30,33,28,28,28,26,24,24,28,26,26,29,32,29,29,33,36,36,36,36,35,31,33,36,38,42,46,46,47,46,46,48,48,47,48,48,51,53,53,54,52,51,53,52,52,55,54,54,52,51,56,48,48,48,47,45,45,45,45,45,46,45,48,48,48,52,53,56,56,55,58,59,57,60,60,60,59,59,58,60,60,59,63,69,68,66,61,61,61,61,61,61,60,56,52,48,46,46,45,60,59,58,57,58,59,59,59,59,57,60,60,60,60,61,64,63,65,65,66,67,67,68,67,69,68,68,68,68,67,65,70,72,68,61,58,56,55,54,50,43,44,42,40,36,35,34,34,34,34,34,35,35,30,30,35,40,40,36,36,35,35,33,32,30,28,26,25,24,20,18,17,15,13,12,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,2,4,5,6,6,5,4,3,2,1,1,1,2,6,6,4,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,5,4,2,2,3,8,8,7,6,3,0,1,4,5,12,24,30,29,28,28,28,29,34,35,34,33,31,33,32,54,57,55,56,55,55,56,54,52,52,59,59,60,59,57,55,55,57,57,55,56,55,58,65,62,62,62,62,62,64,67,68,70,70,71,71,70,71,72,73,73,74,75,75,75,76,77,77,81,82,81,81,81,81,82,84,87,90,89,87,86,86,90,91,93,96,100,98,100,99,100,98,97,97,97,100,96,96,96,97,97,97,97,100,102,101,101,104,106,102,104,103,107,109,111,111,108,102,100,101,100,100,102,101,102,101,105,108,108,107,106,108,109,108,108,108,106,105,106,105,111,113,113,121,120,119,117,117,122,121,123,121,119,110,107,104,102,101,100,99,98,96,93,89,86,85,84,83,80,78,76,74,70,67,60,59,58,54,53,48,46,39,39,36,34,32,23,22,18,15,13,12,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982-1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,2,2,2,0,0,0,2,4,6,10,6,4,4,0,0,0,0,0,0,0,0,6,6,9,9,9,9,6,4,5,5,3,4,8,10,10,9,4,2,2,1,0,1,0,2,4,5,4,3,3,6,10,10,10,6,10,9,9,10,30,32,30,24,22,20,19,19,20,22,22,22,22,22,22,24,25,24,22,23,22,22,31,37,43,41,41,37,37,34,34,34,33,32,31,30,29,29,31,31,31,31,31,30,29,29,28,28,28,28,27,27,27,28,28,29,34,42,42,45,44,43,43,39,36,36,36,36,38,38,38,38,48,53,54,53,53,52,52,52,52,51,50,48,47,49,55,63,61,59,58,58,73,73,75,77,78,81,79,77,70,68,66,61,58,54,52,48,42,41,39,37,36,35,36,48,48,46,42,36,35,34,32,31,30,27,23,22,18,15,12,9,7,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983-1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,4,4,4,0,0,1,1,2,2,2,1,1,0,0,4,4,4,3,10,15,18,18,14,11,10,10,10,17,19,19,18,19,20,28,29,29,33,32,32,42,42,42,42,41,40,36,32,29,31,33,36,39,39,39,43,44,47,47,46,47,46,47,47,47,47,51,49,49,48,50,50,49,49,56,57,56,56,58,59,58,58,58,62,62,61,60,60,61,60,60,61,59,59,59,64,68,68,68,68,68,69,72,70,81,78,74,73,71,69,64,63,61,60,60,63,64,65,63,63,61,62,61,67,75,76,77,74,76,74,76,76,76,76,74,76,76,81,88,89,87,85,85,84,82,82,82,82,82,82,82,82,82,84,90,90,88,88,88,86,84,79,78,83,82,82,83,83,81,81,80,79,78,76,76,74,77,77,72,72,71,70,70,69,63,60,59,58,57,56,55,53,51,48,48,47,46,42,41,41,41,45,43,42,39,35,31,27,24,13,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
